pitcher,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
434378,0.40160224,-0.20186561,0.38609335,0.67613226,-0.095635444,1.0623946,1.2090856,0.37213057,-2.5545447,0.8250818408645587,-2.5090563049319687,-0.39996026365075155,10.349723,-23.851606,-8.651617,434378.0,31.8,Justin VerlanderJustin VerlanderJustin VerlanderJustin VerlanderJustin VerlanderJustin Verlander,Justin Verlander
527054,0.3012764,0.6475965,-2.1192179,-1.7319394,-1.2768543,0.20356695,0.68088686,-0.13591294,0.04488718,0.35731168397855284,0.47968579718815024,-0.40352171362106104,-4.8276286,-2.1872017,-7.0141506,527054.0,6.3,Julio TeheranJulio TeheranJulio TeheranJulio Teheran,Julio Teheran
458708,-1.0447961,-0.00729357,-2.2573,-0.64802635,0.1125315,0.8617504,0.20655136,0.52104163,-1.2850091,0.1509507616741638,-1.3395289147741933,0.3414000974175443,-4.145072,-13.804686,-4.1368823,458708.0,1.0,Josh Tomlin,Josh Tomlin
453178,1.005323,-0.13822176,1.2064325,-1.3804649,-0.47314072,-0.55764765,0.79302263,-0.9376527,-0.9634991,0.3623859654649105,-0.35364428314940827,-1.1479335945605535,-3.8952582,10.683434,-22.36944,453178.0,2.0,Ian Kennedy,Ian Kennedy
543294,-0.27335966,-0.3846783,1.4874405,-1.3868797,1.3927191,1.9099735,0.37385178,0.5926823,-1.0180285,-0.12075829488203707,-1.8124959089435595,-1.6952881221270626,9.461763,-13.828642,-22.750593,543294.0,14.7,Kyle HendricksKyle HendricksKyle HendricksKyle HendricksKyle Hendricks,Kyle Hendricks
592332,-2.530641,-0.9823942,2.42676,-0.64834553,-0.3130434,0.5272903,-0.12517309,1.1369497,-0.10135468,-1.5527612507057351,0.16894411191537162,-0.5816261378782233,-26.451138,13.42829,4.83388,592332.0,23.8,Kevin GausmanKevin GausmanKevin GausmanKevin GausmanKevin GausmanKevin Gausman,Kevin Gausman
457918,1.9353985,1.3185625,-0.013540918,-0.34118977,0.5871416,0.42782974,0.17477046,-1.1175385,-1.8419788,2.4259164376529294,-1.351120006099363,-0.9303563415796204,28.052193,-8.3673115,-1.3597617,457918.0,5.8,J.A. HappJ.A. Happ,J.A. Happ
593958,0.5055934,-0.6063684,-0.59308887,-0.19502969,-0.6285821,0.45563695,0.8635573,-0.6944527,-0.6042986,-0.26532757848010663,-0.7288925829743583,-0.6360220602171311,-4.9206614,-1.760526,-12.878082,593958.0,3.7,Eduardo Rodriguez,Eduardo Rodriguez
502706,0.39263192,1.1402794,-0.39865714,2.5504627,1.9324764,0.25901115,-0.30621725,0.32018766,-0.54924744,1.4874690112392703,-1.2112104421912708,1.6249838805243908,21.17255,-9.188962,11.273913,502706.0,2.4,Derek Holland,Derek Holland
543606,0.97686106,0.40091982,0.6968125,0.27109548,-0.22276917,0.62937754,-0.40944424,-1.1663779,0.19032438,0.685609919577813,0.38932244370101543,-1.1866780532135346,15.68468,5.4986515,-12.194207,543606.0,4.3,Jake OdorizziJake Odorizzi,Jake Odorizzi
643327,-0.12842625,-0.403034,1.4458381,-0.6980462,0.36735758,0.10191507,-0.29264224,0.0021461267,1.6361156,-1.048437319459422,1.1142199954204215,-0.7515375445745242,-18.069609,16.797668,-5.142195,643327.0,2.3,Zack Godley,Zack Godley
453385,0.13700195,-1.2695884,0.765147,1.2690946,-0.45094183,-0.9038361,-0.64548934,1.3162048,1.8167455,-1.584381129542463,1.2322920834921534,0.8309648707976195,-15.760894,17.468897,8.025205,453385.0,2.2,Clayton Richard,Clayton Richard
608379,-2.1289883,1.0158541,-1.4826087,1.7178261,1.6594331,0.07845108,-1.057683,1.1923541,0.2640593,0.3770649789130816,-0.12755925989764388,2.464647680480307,5.681594,-11.289839,21.57528,608379.0,3.1,Michael Wacha,Michael Wacha
547874,-0.49236304,-1.6772417,-0.16435069,-0.49069935,-1.5697695,-0.99557567,-0.7607995,1.2804598,-0.6882961,-1.0843763943624685,0.06230916157530377,0.14691522353883835,-14.7912035,7.3111196,4.6219535,547874.0,2.7,Hisashi Iwakuma,Hisashi Iwakuma
112526,-2.1548727,0.055021614,-0.26232255,1.9188741,0.11823858,0.3187109,-1.0408317,0.057820708,2.5779335,-1.3755265955479097,2.048972215379707,1.2148520034347159,-15.047836,24.529045,8.875188,112526.0,2.4,Bartolo Colon,Bartolo Colon
502327,0.90995705,0.34445003,1.393141,-0.7310049,0.438802,-1.1222321,-0.34577554,-0.6487893,1.7152898,-0.14874088986141548,1.6469036714063385,-0.2998034938073306,2.1874318,22.027645,2.8602355,502327.0,0.8,Hector Santiago,Hector Santiago
448306,-0.01631217,0.49312565,-0.9248806,-0.22238512,-0.10423236,0.32347947,-0.9385699,0.34304988,-1.5930966,1.297444089298572,-0.8320963211548288,-0.09677465240573067,14.2612095,-6.5200505,-6.475287,448306.0,0.19999999999999996,James ShieldsJames Shields,James Shields
543475,-0.47671804,1.5527124,0.6919355,-0.49457967,1.2056885,-0.13471529,0.014495161,-0.2434055,0.047104027,1.0579534933923966,0.2486107820267579,0.3103831796586561,16.534166,8.566643,5.2353067,543475.0,1.9,Jordan LylesJordan LylesJordan Lyles,Jordan Lyles
