0,1,2,3,4,5,6,7,8,pitcher_id,pitcher
0.76367795,0.09739552,-1.5887688,0.093964495,-1.0114876,-1.5791407,-0.0050301687,2.4391844,1.2919741,0,532077
0.9481806,0.22457153,1.6163527,-0.18198693,2.3374555,1.1208316,0.6115712,0.52538437,0.2947941,1,519141
0.21518633,-0.4306237,0.29150864,-0.59755695,-0.6750439,1.0076777,-1.4960847,1.2535921,-2.009307,2,607352
-0.49131897,0.1597721,-1.1197459,-0.32389796,1.6787921,-1.5694298,0.83584,-0.4219013,1.5351548,3,446399
0.29997554,1.6562979,-1.2790208,0.25511605,0.25502464,0.5822861,-1.3675832,-0.17518486,-2.2108386,4,446899
-0.46593475,2.0355344,-1.2403162,-0.67191166,1.8815465,0.7936069,-0.07613165,-0.790278,-1.2307312,5,592717
-1.3340844,0.1881885,1.0543963,0.21890713,-0.57625324,0.3976726,0.6940879,-0.27845046,0.09073802,6,598264
0.08737977,0.3381645,0.36926466,0.09980086,-0.47178558,-0.33126223,0.67431545,-0.21283501,-0.9493588,7,543726
-0.6107953,-0.21836254,-0.01268124,0.22660707,-0.6212415,-0.76289576,-0.4544415,-0.51864934,0.10832823,8,592390
-0.44846907,0.026432501,-1.5138559,-1.0658914,-1.2474538,0.6302666,-1.3379937,-1.5134528,-0.21273196,9,456034
1.1250558,-0.39782482,-0.94325167,2.4878287,0.28017828,-0.3005427,-0.1319153,1.2932348,-0.121226,10,541640
-0.6764975,0.36599353,-0.14946382,-0.15529674,-0.50970274,-1.2547061,0.019994002,-0.86301595,-0.8676202,11,489294
-0.415776,0.6613778,2.1555018,0.4382613,-1.4947186,-1.0776187,0.26164797,2.5108635,0.49676847,12,517008
0.41958308,0.2937745,0.100714944,0.2786921,-0.6812899,1.1696014,-0.7885307,-0.35497054,-1.0708263,13,605309
1.166585,0.7571504,0.4942117,0.6626207,1.190273,-1.362981,-0.9433391,-0.72055936,-0.10591669,14,543144
0.15053593,0.10095283,-2.4609358,1.9612452,1.8522136,0.45380598,-0.6266859,-0.6659742,-2.494417,15,502202
-0.6458117,0.9748007,-1.0103328,0.28266308,0.6546581,-0.9918351,0.4714963,1.0805012,0.27420738,16,516714
1.7366577,-1.6772245,0.87264055,-0.3941812,1.1555147,0.31677437,-0.9100811,1.615508,1.0825648,17,543195
0.39841604,-0.100555025,1.129799,-1.1507529,-2.2150638,-0.059387892,0.9418456,1.4462749,1.3442833,18,518617
-0.370769,0.8111072,-1.3309021,0.16696118,0.5330552,-0.1663723,2.7437267,0.6693388,-0.0124488305,19,502026
0.45393348,-0.56064665,1.1719885,0.2216403,-1.5000148,0.31865174,0.99783385,1.2849115,0.56682795,20,623439
-1.0241848,0.84202135,0.25825003,-0.9468258,0.61615777,0.05957976,0.19279875,-0.52053547,-2.3709137,21,600917
0.44670284,0.1486189,-1.1750202,-0.34422475,1.6461341,-0.23870663,-1.066307,1.4725423,-0.8858601,22,595032
-0.3253318,-0.532007,-1.6703582,0.1400641,1.0036403,-1.2948722,-0.3814701,-0.51531386,0.96710646,23,527048
0.058232255,1.4520872,-0.59009224,-0.40619844,-0.7930647,1.6253293,-0.75982684,1.4552239,0.74472976,24,543272
-0.16253476,-0.4799235,-0.33898988,-1.0308969,0.7638516,0.3802163,-0.5091056,0.5033722,-0.20988014,25,543339
-1.4684407,-0.30581167,-1.2527206,-0.63848686,0.8528923,1.2484788,-0.85235494,-1.3354986,-0.5936344,26,517414
-0.17755105,-0.7351933,0.928034,-0.28391105,0.8845283,-1.700224,-0.7442579,-1.1551203,-0.48621133,27,453344
-1.8162789,0.8395095,0.23111786,-0.06901008,1.0478035,-1.554649,1.5280213,2.3310459,0.5346612,28,611093
0.30659556,-0.59713423,1.6305349,0.8718822,1.0893334,0.8723366,0.45693728,0.75402474,-0.0032128224,29,643355
-0.002253188,-0.17184153,0.114387974,0.65787035,0.0726687,0.9533026,-1.0981827,-0.9690405,0.6927007,30,518560
-2.6329873,-1.0419174,-0.90920895,-0.9528349,1.5223116,0.7314416,0.4464339,0.9821557,-0.51069224,31,571863
-0.265082,-0.367265,1.0834919,-0.07211825,-0.78117234,0.7601312,-0.09424747,-0.85860634,0.7919,32,518883
0.7599449,-1.0223312,-0.48779097,-0.19439977,-0.7928089,-0.890257,1.0409116,0.19242159,0.9441875,33,592866
0.35737753,0.40962484,0.16356853,-0.09309074,-0.68240964,-2.4143617,2.151181,-0.89339226,0.555582,34,453281
-0.078699596,0.044772558,-0.4985396,0.7111267,-1.4909561,1.3139342,1.6936952,0.2942855,-0.7088942,35,504379
-1.9569165,1.2082235,0.73052573,-0.08320124,-1.0439945,0.42714733,0.06821872,0.39413443,0.26903853,36,455009
-0.3573682,-0.91086656,0.68966657,0.14753734,-1.0282924,0.19264904,-0.21627887,0.7899446,0.46491295,37,453172
-0.3564368,0.37794864,-0.77953064,-1.3797354,0.30734432,0.04352861,-1.6215312,-1.1570879,2.7661378,38,455374
0.33909076,-0.020007964,-0.3421136,-0.03967853,0.65656734,0.5815001,-0.2259697,-1.4790018,0.53726155,39,425794
-0.9799975,-0.15551925,-0.17563295,0.6361351,0.3097877,-1.503579,0.12849085,0.25166276,-1.0535532,40,285064
-0.9906945,0.36036718,1.3921419,1.242375,-0.011285202,1.047805,-0.6283652,-0.8167851,0.5300088,41,446099
-1.8297915,1.2045039,1.204306,-1.3962482,-0.090257056,0.1839501,0.21393196,0.01623004,1.8650495,42,656186
0.6836969,-0.95176953,-0.8801879,0.0734954,0.8614398,-1.0095897,-1.4969809,-0.106962375,-0.5134428,43,543056
0.6178748,-0.33965173,-1.2823306,0.29273313,-0.69015676,0.28760827,2.4323874,1.9744986,0.07926007,44,491708
-1.5149635,-0.086695254,0.96824783,0.9108421,-0.14315,-0.53830636,0.49075663,1.2712053,-0.31217623,45,521230
-1.1219395,-0.14023581,0.3119239,-1.5396351,0.6549047,-0.89833736,-0.4331684,-0.0853949,-0.09422233,46,592533
1.9129701,-0.36207756,-1.953932,0.25046018,1.0203537,-0.5844004,-0.9760142,0.88908273,0.37509397,47,640455
