1-tsne,2-tsne,3-tsne,batter_id,batter
23.8407,8.113264,-17.124218,0,598265
-8.448501,-2.8809419,27.286747,1,593428
-26.58887,10.6531725,4.882149,2,434670
-15.186484,8.232718,18.766235,3,120074
7.6081305,-42.55195,13.35301,4,605141
-13.425151,-9.124626,-10.452061,5,518626
-12.315069,-24.148039,10.190081,6,581527
9.177547,22.804117,1.138805,7,485567
-8.030637,18.05392,14.805682,8,607680
24.885036,-5.274191,-1.7547913,9,571788
0.8679046,-9.131743,6.3839726,10,456030
24.026136,12.439791,27.739012,11,643217
-8.227563,-2.9342244,13.022306,12,455759
2.126699,15.820115,1.0904955,13,459431
-27.849428,-7.6729665,-21.901905,14,453064
0.7342784,-28.419659,8.967414,15,431145
-13.884529,-0.33438382,39.478027,16,430832
10.297242,19.836624,23.852783,17,429665
22.044674,-4.9051213,-22.643778,18,506702
-9.773108,25.82289,-11.188921,19,425834
12.061337,8.682142,-14.861527,20,592261
-15.0442915,30.752192,-8.162107,21,595777
-10.14097,0.7471763,32.07008,22,607387
-1.817339,20.572128,-26.077837,23,523253
10.8512125,32.602127,-10.635189,24,543094
0.7225357,-20.25186,17.345774,25,571912
7.7897573,-18.878065,-35.346077,26,592200
-30.610317,-8.20022,-10.903869,27,493351
-27.731941,1.1037207,-25.217701,28,572128
21.182974,-21.918873,0.14948204,29,608336
-20.642721,24.081844,16.126331,30,592592
6.8215075,13.213473,29.14755,31,608577
-16.621113,-28.768276,18.947315,32,593643
-6.8348746,-15.598666,39.104057,33,455139
25.3249,14.31067,12.868783,34,592419
-3.1889408,22.696732,1.4002293,35,572816
-18.008862,-24.974524,-22.749199,36,446334
34.842304,11.490168,1.5762334,37,543484
10.945824,-15.974228,-27.802574,38,425783
-8.171231,-18.997936,-11.856588,39,462101
-8.1553955,-29.242565,9.749278,40,518960
-19.447247,19.113535,4.042933,41,134181
-15.727344,-26.953419,9.799319,42,136860
26.428782,9.604723,30.364292,43,460576
-15.789919,-11.751011,38.051975,44,594838
-23.899965,-3.3920963,21.059217,45,488912
3.3854084,7.6903853,-40.59477,46,571745
5.790878,25.933311,5.649524,47,572008
8.218993,15.366593,35.590477,48,595978
0.59721977,31.64409,-10.920698,49,572114
-21.077045,-8.833083,-11.5947,50,592669
-29.862118,10.111706,-21.41153,51,630111
18.777077,-7.596826,21.844978,52,592273
-25.28804,10.887424,0.22522199,53,502671
