1-tsne,2-tsne,batter_id,batter
28.221632,16.41808,0,598265
-1.5941418,-8.614577,1,593428
-47.115334,4.7958293,2,434670
-18.725685,6.5982943,3,120074
18.925148,-37.20915,4,605141
-9.870405,-27.734661,5,518626
-21.14981,-13.599962,6,581527
16.929594,32.97276,7,485567
-1.2601876,25.236246,8,607680
21.383633,-14.969599,9,571788
13.381689,-4.334119,10,456030
47.085037,10.5606575,11,643217
4.1537185,7.4181547,12,455759
-11.875894,28.66583,13,459431
-27.011913,22.904638,14,453064
-14.090348,-36.99687,15,431145
-48.77073,9.150433,16,430832
4.678877,21.684391,17,429665
44.288857,-10.804236,18,506702
26.27987,42.10836,19,425834
14.692152,18.567177,20,592261
10.263741,32.114784,21,595777
-31.610584,9.601718,22,607387
-9.390217,36.93112,23,523253
4.455559,45.853973,24,543094
-9.768767,-13.034622,25,571912
3.9170809,-3.8392026,26,592200
-22.586086,25.587051,27,493351
-29.064564,18.36649,28,572128
31.819828,-26.373474,29,608336
-21.25023,9.867478,30,592592
-0.9896096,2.7424843,31,608577
-27.6902,-33.44634,32,593643
-8.829001,-17.25544,33,455139
41.32098,14.983067,34,592419
-2.863544,26.002995,35,572816
-12.6466875,-38.787727,36,446334
37.513847,10.261628,37,543484
-5.6772823,-3.9030383,38,425783
-7.3952284,-25.642183,39,462101
-22.135893,-16.046432,40,518960
-20.167048,14.564797,41,134181
-32.546364,-31.673777,42,136860
45.72454,10.9256935,43,460576
-34.914448,-13.991457,44,594838
-37.362946,-5.5781126,45,488912
22.632338,7.021963,46,571745
18.138935,32.148354,47,572008
-2.5089626,0.3191719,48,595978
7.8797927,41.161106,49,572114
-10.8750925,-30.208279,50,592669
-33.04573,8.014128,51,630111
21.07486,-10.506487,52,592273
-41.68345,-0.03087401,53,502671
-50.24818,-0.39303818,54,571875
-13.545438,32.925934,55,543105
33.329857,-25.145798,56,500208
-38.969185,5.0040846,57,571976
37.648525,-17.167757,58,516416
2.6330013,-6.868977,59,571812
50.07603,9.483064,60,622534
27.054062,29.107069,61,489267
25.99673,-16.71918,62,596143
48.444344,18.496855,63,571863
-36.9659,15.805875,64,518560
40.618835,-23.202433,65,457705
26.168276,-33.991783,66,570256
-10.286132,25.542143,67,444379
-49.5864,16.609688,68,595386
16.121435,3.8647304,69,461235
44.482674,-1.3895776,70,594824
-1.4926943,-29.93327,71,572039
9.816037,48.193665,72,425877
-30.095816,10.105385,73,465753
39.425613,2.7736173,74,518700
30.451473,-24.689978,75,593700
31.270967,-21.908785,76,459964
32.554077,-1.8634632,77,649557
-35.5535,-17.405977,78,572761
-9.242753,-18.831661,79,571431
27.696114,20.265066,80,545341
-34.655193,-26.354567,81,576397
16.442137,-32.2993,82,425509
22.920511,-11.196917,83,628356
34.740456,-29.88731,84,624428
20.743053,-46.308414,85,500874
-3.0952704,42.495457,86,285064
41.536373,-6.6977153,87,425794
44.512344,-1.5505246,88,596129
20.211666,-23.00204,89,572122
48.16819,1.342284,90,429711
-10.534818,5.4623246,91,621566
-4.1576085,14.960654,92,518649
-26.840313,27.49018,93,622194
22.85118,18.970865,94,572287
-42.131943,16.235693,95,502523
39.203297,-1.214146,96,628338
33.00558,-18.813498,97,502273
-10.005782,15.244341,98,475174
13.800919,16.308134,99,592387
14.192703,-22.30139,100,640461
48.357178,-17.444952,101,621563
16.317713,-37.28119,102,455104
-26.707415,-28.727882,103,592325
-20.330841,-1.6371342,104,493193
17.089893,40.555332,105,543760
5.874821,-25.224798,106,519295
24.758356,-7.524173,107,429664
-19.020546,-4.7565703,108,519390
-6.6141777,-28.781435,109,493472
29.432955,13.006216,110,624424
11.982316,-4.493067,111,607043
-5.877332,30.788391,112,446263
-5.299735,-12.009941,113,520471
-23.192225,-34.401695,114,571437
-11.686019,-0.98811096,115,433217
16.043749,-0.24865317,116,519237
-8.78181,5.2410603,117,429667
2.386417,26.587214,118,596748
-25.887724,33.91649,119,457477
13.2892065,32.25885,120,608703
-22.706871,-9.837848,121,501571
-29.32784,8.653479,122,546318
-4.6562667,17.95324,123,517370
-40.26617,-20.84983,124,514917
-27.71348,-31.979427,125,605125
25.362572,18.697674,126,571841
19.446514,-7.1618223,127,608700
-20.023308,-7.4802375,128,430637
35.645527,17.668282,129,425766
-23.392052,-7.492503,130,595191
-23.18652,-38.305286,131,457803
2.8597012,18.578634,132,434158
-23.972845,-26.215464,133,593679
6.3954844,-21.450867,134,452678
47.50589,-1.2721546,135,641313
11.104929,-39.363503,136,594809
4.3343716,4.537452,137,543776
-46.677666,4.64391,138,573627
18.800377,-18.880499,139,593934
-17.48829,19.084246,140,543257
-34.806343,9.770824,141,593871
-0.2311432,39.153034,142,621439
-7.033415,39.369987,143,570560
36.261658,11.21235,144,553882
-41.628433,-5.157534,145,453943
-3.9162405,42.476105,146,541645
14.107142,-5.7779765,147,502582
0.90459293,-9.4010105,148,571974
13.216708,25.383095,149,596146
-8.702395,-13.09922,150,547989
34.77648,-26.540539,151,466320
31.188951,-15.5180435,152,488671
0.6013461,-48.24518,153,500871
3.0072498,-46.395763,154,408047
9.040446,5.438632,155,453568
-26.69119,0.3833867,156,518614
22.005507,-6.4322586,157,542436
-3.0279303,-30.280443,158,518653
35.30446,-1.9389902,159,572180
30.64231,38.666576,160,606115
-37.47316,6.3169565,161,541650
-9.529617,-13.2592125,162,570267
8.172988,-15.573068,163,506924
-23.125483,-8.93633,164,641958
10.549912,-30.00247,165,608596
-0.21764249,-45.757076,166,471865
7.572892,18.16896,167,571448
-48.178196,-3.8124979,168,474892
22.027733,-33.503128,169,592680
-12.898218,6.0616813,170,542340
8.789635,0.6477596,171,621311
-27.905874,39.21428,172,606132
31.76311,-22.721083,173,642162
-21.820032,-16.021456,174,444489
-9.337523,-7.378014,175,571697
6.6112924,-3.407738,176,500887
33.222797,-3.5710928,177,608566
-9.264537,2.3529284,178,543590
26.617424,-25.028057,179,572788
12.5689535,-37.77115,180,489305
-7.882147,36.268456,181,571506
7.8333645,28.466145,182,592885
5.0358567,-10.001569,183,452220
-39.47335,5.5070167,184,519208
-27.275883,35.600754,185,547180
-50.167988,15.035018,186,519184
49.091316,3.415728,187,607208
