1-tsne,2-tsne,3-tsne,pitcher_id,pitcher
-2.309188,-12.375589,-34.688187,0,532077
29.642681,-31.54287,2.545085,1,519141
-14.108583,-20.783007,21.582642,2,607352
36.03414,7.2695575,-7.5285664,3,446399
-9.776039,-4.2111716,28.830843,4,446899
5.7017975,-7.3993597,35.302944,5,592717
-11.135917,25.588108,3.5083532,6,598264
-11.263,-0.97481346,21.320276,7,543726
-4.286229,19.68264,5.4483366,8,592390
-28.440466,12.277961,24.294338,9,456034
7.620649,-27.953878,-9.919381,10,541640
-6.75261,17.645792,7.5364814,11,489294
-14.561257,29.529566,-18.59088,12,517008
-15.809194,-5.3383913,15.936617,13,605309
2.0937428,12.507144,-35.154198,14,543144
5.552062,12.892557,37.712765,15,502202
6.871154,-2.7287314,27.522486,16,516714
-21.032402,-14.777421,-30.238138,17,543195
-30.842571,-8.173447,-23.09832,18,518617
7.3212066,-42.308994,10.882383,19,502026
-14.280071,11.441197,-3.4807801,20,623439
10.038664,-1.4838785,32.533463,21,600917
-1.4382331,-43.48101,-3.6755834,22,595032
39.573933,5.6157045,-5.259387,23,527048
-24.611086,-8.344487,-29.122667,24,543272
21.6484,-19.873196,7.9341483,25,543339
16.455435,-10.166888,14.358934,26,517414
14.272462,9.485811,9.255575,27,453344
27.083002,18.079548,29.413004,28,611093
15.171269,17.819456,-14.851975,29,643355
4.458792,11.771021,7.2135396,30,518560
24.350327,-16.880604,19.812542,31,571863
-5.9712954,9.520824,-11.333234,32,518883
5.2071495,-8.826615,-24.20801,33,592866
-34.74136,14.1574,-7.3505864,34,453281
-7.794355,-19.678406,8.008306,35,504379
-14.071744,31.921764,3.7877107,36,455009
14.620936,-3.539486,-14.733786,37,453172
18.657097,5.386169,-34.22161,38,455374
1.6754344,7.456339,3.8371818,39,425794
30.763023,9.958952,5.92864,40,285064
6.876293,33.821194,-6.345525,41,446099
-0.35170642,8.842929,-12.752019,42,656186
31.83127,-9.181505,-10.007097,43,543056
8.076455,-42.530422,4.9384027,44,491708
22.967482,14.635814,26.445316,45,521230
