0,1,2,3,4,5,6,7,8,batter_id,batter
-0.89610684,0.99286354,0.061105624,0.023161473,0.13610849,-1.3462026,-1.1187736,0.04224757,0.7321265,0,598265
-0.14081922,-0.28282464,0.13884646,-0.9416145,-2.4082892,1.0184624,-0.18737894,-0.2454959,-0.07037903,1,593428
2.307472,-1.4855379,0.375057,0.35473105,-0.5662687,0.88953024,0.11808264,-0.9944653,1.887007,2,434670
-0.047169525,-0.808541,-0.84796363,1.7050812,-1.4490645,-0.63316345,0.0645608,-1.947078,0.64650625,3,120074
-1.7638563,1.1862994,2.5938795,0.88585216,-1.6649926,-0.55544996,-0.21370032,-0.189011,-0.010107407,4,605141
0.81538504,0.54246163,0.33049777,1.0573643,0.23979802,0.7512685,-2.200321,-0.24000274,-1.0371753,5,518626
0.99888176,0.90669274,-0.018343067,-0.48416096,0.5493505,0.35673687,1.0446317,1.0602785,0.4858378,6,581527
2.3851304,0.2073964,1.1464853,-0.5554595,1.3285106,-1.6203865,1.4811,0.6948828,0.87523454,7,485567
1.1554037,-2.0645049,0.2610745,1.4415529,-0.26896387,-1.6993346,-0.5275289,-0.34995407,0.61501557,8,607680
-0.7284658,-0.3682089,1.232478,0.98574406,1.1393663,-1.0067568,1.1458883,-0.25069597,0.38960144,9,571788
-0.009238443,0.021686213,-0.027495433,-0.078620605,1.3704594,-0.29709217,1.413587,-0.15425955,-1.4316328,10,456030
1.0544484,-0.3385354,1.5258847,0.22191392,0.01743062,0.036180824,0.091112964,-0.39150205,-1.3078791,11,643217
0.01976123,-0.40101218,0.100461654,0.8575305,0.36064062,-0.38328624,0.81204927,0.20890592,-0.11131653,12,455759
1.4338151,0.29200965,-0.11803035,0.32809618,0.786662,-0.9393589,0.34337008,0.84958595,0.6284568,13,459431
1.033031,-0.2955452,-1.9669507,1.5528345,1.130038,-0.073921695,-1.0255122,-0.2160155,0.23135625,14,453064
-0.6797722,0.374005,0.37517038,1.4533365,-0.042488597,0.013533312,0.53476435,0.48125002,-0.08936787,15,431145
0.877628,-0.91545945,0.627163,-0.0694259,-1.6030297,-0.05076934,0.76201683,1.355203,1.0430113,16,430832
0.65469193,-0.15268889,1.0232425,0.04580336,-0.4177094,-0.52919614,-1.016708,0.6698704,0.012181688,17,429665
-2.1281257,1.1471493,-0.023394018,-2.397451,0.25619447,0.12352824,-1.3831916,0.25388825,-0.32460937,18,506702
-1.0187116,-0.35082623,0.43494675,-1.0907246,2.5765584,0.90503156,1.6109622,0.019002615,-0.18762214,19,425834
-0.16701564,-0.89071053,-1.3218759,0.11937461,0.7220397,-2.5855713,0.5824088,-0.8007073,-0.09302183,20,592261
0.7142908,-0.11764555,1.668908,-1.8697814,1.4098415,2.47086,0.51156926,0.35625792,0.017195556,21,595777
-0.8295569,0.6041512,-1.421231,-1.8173498,-1.7134771,0.29950404,-0.66904914,-0.7517708,0.82059276,22,607387
0.2666863,-1.089253,-0.57492745,0.56293094,0.6917404,-0.035948582,-0.107168496,-0.8409136,1.8341174,23,523253
0.40022466,-1.006529,0.11299537,-1.4858739,-0.24450704,-0.035936497,-1.4156699,0.21382838,0.46303475,24,543094
1.0602813,1.8672497,-1.2753859,-0.61792964,-0.39490741,0.22787942,0.22324961,-0.21665667,-1.2982917,25,571912
0.0026263834,-1.2262552,0.7627795,0.8414083,0.50466335,0.32516173,-3.2254076,0.43135902,0.6288233,26,592200
