1-tsne,2-tsne,pitcher_id,pitcher
-6.1093836,-47.656727,0,532077
16.05144,44.406803,1,519141
-37.794224,33.113556,2,607352
44.538975,-19.399574,3,446399
-9.054978,1.371493,4,446899
-4.414487,6.110522,5,592717
0.67804134,16.301819,6,598264
-21.068792,-3.2034278,7,543726
6.737469,12.639542,8,592390
-31.123005,29.788086,9,456034
8.132912,-34.5067,10,541640
6.05081,13.281246,11,489294
-14.816454,-13.211355,12,517008
-24.767242,-8.380068,13,605309
-9.869569,-7.213347,14,543144
1.0397288,-40.769867,15,502202
21.063253,-26.471819,16,516714
-28.497414,-27.975603,17,543195
-39.074352,23.67183,18,518617
18.011139,-37.89796,19,502026
-17.287945,-13.089446,20,623439
8.317242,27.712595,21,600917
2.3308651,-36.592796,22,595032
43.32521,-17.61801,23,527048
-5.6669064,-21.009422,24,543272
16.282757,31.747746,25,543339
23.767931,23.675724,26,517414
16.825659,9.224033,27,453344
23.13291,-19.187061,28,611093
12.221431,-11.038438,29,643355
-3.5747695,-1.9920952,30,518560
24.860735,32.587276,31,571863
-12.189544,24.015352,32,518883
14.113501,0.8009994,33,592866
-34.28467,1.858389,34,453281
-5.540618,-24.683771,35,504379
-1.6150452,19.812035,36,455009
25.490473,8.339473,37,453172
-9.081172,41.652184,38,455374
-4.883963,0.3352941,39,425794
32.787067,-18.102747,40,285064
4.963986,-0.26423833,41,446099
-0.17203699,29.094917,42,656186
33.101627,-29.655474,43,543056
16.45565,-39.141888,44,491708
23.026068,-17.069332,45,521230
4.318968,22.921957,46,592533
-1.410572,-45.0659,47,640455
-37.443394,-10.939029,48,519381
-9.227717,44.4671,49,433587
-36.48917,3.315084,50,593576
10.453314,-22.635588,51,449104
21.934196,8.36621,52,570257
-3.258338,-4.5992227,53,592527
13.435636,-22.415092,54,572831
17.920048,-30.05924,55,592340
8.798359,31.057251,56,605396
-37.926388,13.2834215,57,519294
-14.486104,18.462826,58,595191
21.473066,5.871298,59,460283
1.9628253,28.491365,60,593679
18.881836,-28.331406,61,445213
-24.354025,-2.5843859,62,571476
8.379665,-4.9084797,63,573124
14.567334,-25.66963,64,545363
16.786116,21.885439,65,592872
11.484577,2.6471088,66,594951
22.520714,28.714054,67,573668
41.006966,-11.032939,68,621244
21.826563,10.529479,69,519242
26.000076,5.779109,70,608349
-19.752129,-36.857563,71,543734
-10.131251,-24.746737,72,592804
20.670238,-14.734562,73,448614
35.454025,13.155313,74,502522
-36.14179,21.71886,75,608032
-13.088097,2.7281048,76,430641
2.209568,21.481354,77,571539
34.6828,11.569862,78,608566
-4.446601,24.219465,79,501697
4.350259,21.373655,80,543746
1.2973409,1.7911357,81,572788
-23.990093,5.666646,82,453343
-20.287655,-14.170066,83,628333
-13.722807,31.858393,84,623395
-5.4729676,-25.548134,85,519301
44.918488,19.776798,86,625643
-11.3351965,27.154188,87,543017
-25.634048,33.35459,88,424144
-4.263405,11.866696,89,596331
-16.646057,-26.795292,90,641627
3.9407294,-14.067459,91,592169
-35.642494,5.2533445,92,453286
-40.23139,9.132719,93,592593
14.431552,-7.53637,94,543408
27.656336,33.65278,95,489265
4.240184,27.05984,96,430599
-29.05367,24.61128,97,519043
-38.208168,-0.54621005,98,520980
-27.056467,-9.407819,99,594795
14.32232,10.463433,100,622072
4.618277,-12.434495,101,451661
16.626541,-34.448227,102,501593
-24.75545,17.293074,103,628317
18.386723,19.276585,104,457732
7.7065864,37.162846,105,448609
43.338573,0.28844392,106,500724
-19.132542,-30.35997,107,594311
35.956238,21.97154,108,468504
-32.445366,10.213661,109,502087
-7.9795494,-22.008596,110,624586
34.136936,24.358107,111,572086
36.472034,-8.194775,112,462382
-27.85311,12.58983,113,541652
44.023895,-13.408378,114,542432
-41.65481,5.387427,115,434378
-5.3375607,43.62674,116,527054
-6.531546,12.062657,117,592102
-5.109326,-31.292313,118,451584
5.9241195,33.00426,119,453192
10.088824,14.894511,120,458708
-5.30741,-30.260208,121,465657
19.889215,-8.885882,122,453178
-28.217453,21.566795,123,605218
11.823592,47.876736,124,628452
3.5628037,36.530518,125,518748
-15.627802,-5.202842,126,475243
-17.79369,1.0941857,127,502028
-11.753231,25.276093,128,501925
-34.0746,-21.402328,129,456027
-42.705738,-8.744471,130,593974
17.424725,24.375546,131,543557
-21.168056,-8.612741,132,471822
40.358887,10.832558,133,543294
-14.757895,-9.943482,134,596112
31.210142,-20.687475,135,502154
-0.32568,-3.4880776,136,542947
10.290354,11.814766,137,592332
-20.479803,20.47798,138,476589
23.616106,3.3253832,139,453284
3.9634805,10.925158,140,518927
23.14914,-11.851538,141,570666
10.500847,9.32027,142,518886
41.422527,5.5193076,143,276351
-35.15498,9.711896,144,523260
27.457273,10.238099,145,457918
33.972416,-18.715456,146,593958
4.126243,-0.72298384,147,502706
-3.0635004,-27.846016,148,592222
21.071503,20.599636,149,407890
0.8090348,-26.84296,150,543606
-0.81622475,26.6597,151,599998
34.916176,22.324764,152,643327
26.938704,-6.1349144,153,534812
8.091306,-36.957977,154,605151
11.584598,29.720453,155,523848
20.387995,10.732093,156,453385
-14.770963,39.93977,157,493200
-17.98682,-4.5132866,158,553878
34.400665,27.452888,159,543779
17.048033,9.547467,160,641771
-10.168432,7.3800635,161,621199
13.229973,-5.562058,162,572096
-34.395893,-1.6959435,163,462515
-8.7796,15.489952,164,608379
6.724224,14.672894,165,425492
29.148546,14.680728,166,621242
