first,last,given,nick,id,full_name
Mitch,Spence,Mitch Perry,,687765,Mitch Spence
Matt,Krook,Matthew Edward,,640454,Matt Krook
Tayler,Saucedo,Tayler Andrew,,642048,Tayler Saucedo
Josh,Collmenter,Joshua Michael,,518567,Josh Collmenter
Robbie,Erlin,Robert Joseph,,572362,Robbie Erlin
Jake,Bauers,Jakob Christopher,,641343,Jake Bauers
Tristan,Gray,Tristan Colby,,656484,Tristan Gray
Kyle,Keller,Kyle Robert,,664918,Kyle Keller
Chris,Herrmann,Christopher Ryan,,543302,Chris Herrmann
Matt,Bush,Matthew Brian,,456713,Matt Bush
Anderson,Espinoza,Anderson Jose,,659262,Anderson Espinoza
Jonah,Bride,Jonah Michael,,681146,Jonah Bride
Cole,Sulser,Cole Young,,642121,Cole Sulser
Jerry,Vasto,Gerard Joseph,,657786,Jerry Vasto
Garrett,Richards,Garrett Thomas,,572070,Garrett Richards
Jesús,Luzardo,Jesús Guillermo,,666200,Jesús Luzardo
Matt,Shoemaker,Matthew David,,533167,Matt Shoemaker
Pedro,Avila,Pedro Manuel,,658648,Pedro Avila
David,Hensley,David James,,682073,David Hensley
Tanner,Bibee,Tanner Hayes,,676440,Tanner Bibee
Tyler,Alexander,Tyler John,,641302,Tyler Alexander
Brett,Anderson,Brett Franklin,,474463,Brett Anderson
Austin,Riley,Michael Austin,,663586,Austin Riley
Taijuan,Walker,Taijuan Emmanuel,,592836,Taijuan Walker
Brandon,Cumpton,Brandon Tyler,,592238,Brandon Cumpton
Glenn,Sparkman,Glenn Michael,,642098,Glenn Sparkman
Danny,Valencia,Daniel Paul,,502143,Danny Valencia
Trey,Lipscomb,LaVictor Antwain,,702358,Trey Lipscomb
Yency,Almonte,Yency,,622075,Yency Almonte
Tommy,Romero,Thomas John,,676720,Tommy Romero
Drew,Stubbs,Robert Andrew,,453211,Drew Stubbs
Walker,Buehler,Walker Anthony,,621111,Walker Buehler
Diego,Castillo,Diego,,650895,Diego Castillo
Ehire,Adrianza,Ehire Enrique,,501303,Ehire Adrianza
Luis,Urías,Luis Fernando,,649966,Luis Urías
Kwang Hyun,Kim,Kwang Hyun,KK,547942,Kwang Hyun Kim
Eddy,Alvarez,Eduardo Cortes,,657193,Eddy Alvarez
Tanner,Roark,Tanner Burnell,,543699,Tanner Roark
Hyun Soo,Kim,Hyun Soo,,547957,Hyun Soo Kim
Scott,Barlow,Scott Alen,,605130,Scott Barlow
Alejo,López,Jesús Alejo,,664670,Alejo López
Jason,Castro,Jason Michael,,488771,Jason Castro
Robinson,Leyer,Robinson,,622490,Robinson Leyer
Phillip,Diehl,Phillip Stewart,,670426,Phillip Diehl
Jackson,Stephens,Jackson Tanner,,623451,Jackson Stephens
Randy,Rosario,Randy Miguel,,600968,Randy Rosario
Webster,Rivas,Webster Julian,,593590,Webster Rivas
Cole,Tucker,Cole Bryson,,657061,Cole Tucker
Blake,Swihart,Blake Aubry,,596119,Blake Swihart
Scott,Blewett,Scott Thomas,,656240,Scott Blewett
George,Kontos,George Nicholas,,502004,George Kontos
Jordan,Balazovic,Jordan Blake,,666364,Jordan Balazovic
Bryce,Jarvis,Bryce Martin,,686826,Bryce Jarvis
Parker,Mushinski,Parker Allen,,656786,Parker Mushinski
Tyrone,Taylor,Tyrone Anthony,,621438,Tyrone Taylor
Luis,Gil,Luis Angel,,661563,Luis Gil
Fabio,Castillo,Fabio,,503566,Fabio Castillo
Chris,Coghlan,Christopher Brockett,,458085,Chris Coghlan
Seby,Zavala,Bernardo Sebastian,,664874,Seby Zavala
Joey,Votto,Joseph Daniel,,458015,Joey Votto
John,Jaso,John Edward,,444379,John Jaso
Abraham,Almonte,Abraham,,501659,Abraham Almonte
Marcus,Stroman,Marcus Earl,,573186,Marcus Stroman
Ian,Anderson,Ian Theodore,,666120,Ian Anderson
Ceddanne,Rafaela,Ceddanne Chipper Nicasio Marte,,678882,Ceddanne Rafaela
Yennier,Cano,Yennier,,666974,Yennier Cano
Jeff,McNeil,Jeff,,643446,Jeff McNeil
Junior,Caminero,Junior Alberto,,691406,Junior Caminero
Vidal,Nuño,Vidal Vicente,,573064,Vidal Nuño
A. J.,Reed,Andrew Joseph,,607223,A. J. Reed
Juniel,Querecuto,Juniel Alberto,,578570,Juniel Querecuto
Tommy,La Stella,Thomas Frank,,600303,Tommy La Stella
Jacob,Nix,Jacob James,,656798,Jacob Nix
Kyle,Gibson,Kyle Benjamin,,502043,Kyle Gibson
Donovan,Walton,Donovan Robert,,622268,Donovan Walton
Evan,White,Evan McKee,,657108,Evan White
Kevin,Shackelford,Kevin Russell,,594992,Kevin Shackelford
Brett,Nicholas,Brett James,,592592,Brett Nicholas
Ryan,Goins,Ryan Matthew,,572365,Ryan Goins
Gabe,Klobosits,Gabe Michael,,656620,Gabe Klobosits
R. J.,Alaniz,Ruben,,595798,R. J. Alaniz
Joe,Musgrove,Joseph Anthony,,605397,Joe Musgrove
Dylan,Floro,Dylan Lee,,571670,Dylan Floro
Nelson,Velázquez,Nelson Javier,,676369,Nelson Velázquez
Adonis,García,Adonis,,611177,Adonis García
Dan,Slania,Daniel Alexander,,592753,Dan Slania
James,Pazos,James Manuel,,572021,James Pazos
Walker,Lockett,Andrew Walker,,621141,Walker Lockett
Dennis,Santana,Dennis Anfernee,,642701,Dennis Santana
Alexander,Canario,Alexander,,672744,Alexander Canario
Davis,Daniel,Robert Davis,,669721,Davis Daniel
Juan,Centeno,Juan Carlos,,518542,Juan Centeno
Yoán,Moncada,Yoán Manuel,,660162,Yoán Moncada
Justin,Bruihl,Justin,,677865,Justin Bruihl
Jaycob,Brugman,Jaycob Hull,,595144,Jaycob Brugman
Aneurys,Zabala,Aneurys,,656008,Aneurys Zabala
Pete,Crow-Armstrong,Peter,,691718,Pete Crow-Armstrong
Cody,Martin,Cody Matthew,,592533,Cody Martin
Daysbel,Hernández,Daysbel,,678226,Daysbel Hernández
Jarlín,García,Jarlín Emmanuel,,606424,Jarlín García
Erik,Miller,Erik Christopher,,669062,Erik Miller
Michael,Brantley,Michael Charles,,488726,Michael Brantley
Chance,Adams,Chance,,664856,Chance Adams
Jordan,Romano,Jordan Robert,,605447,Jordan Romano
Jared,Koenig,Jared Tyler,,657649,Jared Koenig
Gary,Sánchez,Gary,,596142,Gary Sánchez
Huascar,Brazobán,Huascar Leandro,,623211,Huascar Brazobán
Graham,Pauley,Graham Austin,,688363,Graham Pauley
Michael,Pineda,Michael Francisco,,501381,Michael Pineda
Caleb,Joseph,Caleb Martin,,543376,Caleb Joseph
Antonio,Santos,Antonio Nathanahel,,665733,Antonio Santos
Nathan,Eovaldi,Nathan Edward,,543135,Nathan Eovaldi
Eduardo,Escobar,Eduardo Jose,,500871,Eduardo Escobar
Jimmy,Lambert,James Michael,,669424,Jimmy Lambert
Matt,Manning,Matthew George,,666159,Matt Manning
Boone,Logan,Boone,,457429,Boone Logan
Sherten,Apostel,Sherten Wimbert Ramiro,,665947,Sherten Apostel
TJ,Friedl,Terry Lee,,670770,TJ Friedl
Tyler,Mahle,Tyler Fermin,,641816,Tyler Mahle
Taylor,Kohlwey,Taylor,,670128,Taylor Kohlwey
Cal,Raleigh,Caleb John,,663728,Cal Raleigh
Brad,Goldberg,Bradley Andrew,,643329,Brad Goldberg
Jacob,deGrom,Jacob Anthony,,594798,Jacob deGrom
Mitch,Garver,Mitchell Lyn,,641598,Mitch Garver
Nick,Williams,Billy Nicholas,,608384,Nick Williams
Rob,Segedin,Robert Mitchell,,574847,Rob Segedin
Tomás,Nido,Tomás Enrique,,621512,Tomás Nido
Garrett,Hill,Garrett David,,682051,Garrett Hill
Kevin,Smith,Kevin,,675656,Kevin Smith
Jake,Cousins,Jake Owen,,664776,Jake Cousins
Ronny,Rodríguez,Ronny,,500135,Ronny Rodríguez
Vladimir,Guerrero,Vladimir,,665489,Vladimir Guerrero
Kevin,McCarthy,Kevin Edward,,641838,Kevin McCarthy
Garrett,Whitlock,Garrett Getts,,676477,Garrett Whitlock
Johan,Quezada,Johan Ramon,,629498,Johan Quezada
Steven,Cruz,Steven Adalberto,,674444,Steven Cruz
Greg,Deichmann,Gregory Arthur,,656364,Greg Deichmann
Edward,Paredes,Edward Miguel,,487675,Edward Paredes
Brandon,Bailey,Brandon David Keith,,669064,Brandon Bailey
Kyle,Hendricks,Kyle Christian,,543294,Kyle Hendricks
Buddy,Boshers,Jeffrey Alan,,542953,Buddy Boshers
Mike,Baumann,Michael Thomas,,657508,Mike Baumann
Robert,Dugger,Robert Lee,,667498,Robert Dugger
Jon,Edwards,Jonathan Benjamin,,457754,Jon Edwards
Nick,Wittgren,Nicholas James,,621295,Nick Wittgren
Marco,Luciano,Marco Jose,,682617,Marco Luciano
Génesis,Cabrera,Génesis,,650893,Génesis Cabrera
Frankie,Montas,Francelis,,593423,Frankie Montas
Pierce,Johnson,Pierce William,,572955,Pierce Johnson
Josh,Winckowski,Joshua Michael,,670174,Josh Winckowski
Carlos,Tocci,Carlos Daniel,,624636,Carlos Tocci
MacKenzie,Gore,MacKenzie Evan,,669022,MacKenzie Gore
Dario,Álvarez,Dario Rafael,,516714,Dario Álvarez
Miles,Mikolas,Miles Tice,,571945,Miles Mikolas
Aríel,Miranda,Aríel,,664641,Aríel Miranda
Samad,Taylor,Samad Jahad,,669392,Samad Taylor
Paul,Janish,Paul Ryan,,457926,Paul Janish
Scott,Alexander,Scott Alain,,518397,Scott Alexander
Sean,Reid-Foley,Sean Ian,,656887,Sean Reid-Foley
Mike,Tauchman,Michael Robert,,643565,Mike Tauchman
Matt,den Dekker,Matthew Gerrit,,544925,Matt den Dekker
Alec,Burleson,Alec Michael,,676475,Alec Burleson
Trey,Mancini,Joseph Anthony,,641820,Trey Mancini
Zack,Kelly,Zachery Reed,,677161,Zack Kelly
Jacob,Hannemann,Jacob Howard,,595238,Jacob Hannemann
Kyle,Muller,Kyle Douglas,,666205,Kyle Muller
José,Marmolejos,José Ramon,,592530,José Marmolejos
J. P.,Howell,James Phillip,,434442,J. P. Howell
Keston,Hiura,Keston Wee Hing Natsuo,,669374,Keston Hiura
John,McMillon,John Mitchell,,669111,John McMillon
Francisco,Lindor,Francisco Miguel,,596019,Francisco Lindor
Max,Kranick,Max Joseph,,668820,Max Kranick
Enmanuel,Valdez,Enmanuel,,665839,Enmanuel Valdez
Tanner,Scott,Tanner Alexander,,656945,Tanner Scott
Gift,Ngoepe,Mpho' Gift,,547912,Gift Ngoepe
Daniel,Robertson,Daniel Ray,,621002,Daniel Robertson
Joe,Jiménez,Joe Alexander,,641729,Joe Jiménez
Enoli,Paredes,Enoli Norverto,,660600,Enoli Paredes
AJ,Smith-Shawver,AJ,,700363,AJ Smith-Shawver
Brian,Navarreto,Brian Eduardo,,640459,Brian Navarreto
Harold,Castro,Harold Arnaldo,,605612,Harold Castro
Nick,Loftin,Nicholas James,,679845,Nick Loftin
Wyatt,Mills,Gregory Wyatt,,670090,Wyatt Mills
Brian,O'Keefe,Brian James,,657247,Brian O'Keefe
Justin,Ruggiano,Justin Marshall,,448605,Justin Ruggiano
Penn,Murfee,William Penn,,682171,Penn Murfee
Keon,Broxton,Keon Darell,,542979,Keon Broxton
Ryan,Meisinger,Ryan Thomas,,664682,Ryan Meisinger
Yohan,Ramírez,Yohan Manuel,,670990,Yohan Ramírez
Jack,Mayfield,David Jack,,608686,Jack Mayfield
Eric,Thames,Eric Allyn,,519346,Eric Thames
Bryan,Morris,Avery Bryan,,457768,Bryan Morris
Graham,Ashcraft,Douglas Graham,,668933,Graham Ashcraft
Bailey,Ober,John Bailey,,641927,Bailey Ober
Christopher,Bostick,Christopher Michael,,607471,Christopher Bostick
Jameson,Taillon,Jameson Lee,,592791,Jameson Taillon
Brandon,Waddell,Brandon David,,663399,Brandon Waddell
Chris,Shaw,Christopher James,,622046,Chris Shaw
Jeter,Downs,Jeter Deion,,669023,Jeter Downs
Anderson,Tejeda,Anderson Alexander,,660731,Anderson Tejeda
Lucas,Luetge,Lucas Lester,,476595,Lucas Luetge
Jarrod,Dyson,Jarrod Martel,,502481,Jarrod Dyson
Jason,Alexander,Jason Raymond,,669920,Jason Alexander
Addison,Russell,Addison Wayne,,608365,Addison Russell
Chris,Rusin,Christopher Patrick,,543734,Chris Rusin
Cristian,Pache,Cristian Rafael,,665506,Cristian Pache
Shane,Bieber,Shane Robert,,669456,Shane Bieber
Zack,Godley,Zachary Thomas,,643327,Zack Godley
Trey,Cabbage,Trey Aaron,,663550,Trey Cabbage
Andrew,Susac,Andrew John,,572180,Andrew Susac
Ryan,Weathers,Ryan,,677960,Ryan Weathers
Sean,Gilmartin,Sean Patrick,,543219,Sean Gilmartin
Shae,Simmons,Shae Austin,,623406,Shae Simmons
Brennan,Bernardino,Brennan Allen,,657514,Brennan Bernardino
Héctor,Santiago,Héctor Felipe,,502327,Héctor Santiago
Yuli,Gurriel,Yulieski,,493329,Yuli Gurriel
Jerry,Blevins,Jerry Richard,,460283,Jerry Blevins
Davis,Martin,Davis Alan,,663436,Davis Martin
Rougned,Odor,Rougned Roberto,,596059,Rougned Odor
Clint,Frazier,Clint Jackson,,640449,Clint Frazier
Erik,Goeddel,Erik Van Norman,,592340,Erik Goeddel
Deolis,Guerra,Deolis Alexander,,500610,Deolis Guerra
Tzu-Wei,Lin,Tzu-Wei,,624407,Tzu-Wei Lin
Fernando,Salas,Noel Fernando,,477569,Fernando Salas
Grégor,Blanco,Grégor Miguel,,453923,Grégor Blanco
Andrew,Young,Andrew Jacob,,670370,Andrew Young
Sheldon,Neuse,Sheldon Lynn,,641914,Sheldon Neuse
Andrés,Muñoz,Andrés Clemente,,662253,Andrés Muñoz
Sergio,Alcántara,Sergio Junior,,642727,Sergio Alcántara
Manuel,Margot,Manuel,,622534,Manuel Margot
Cal,Stevenson,Cal,,670276,Cal Stevenson
Deivi,García,Deivi Anderson,,665620,Deivi García
Noé,Ramirez,Noé,,598287,Noé Ramirez
Brusdar,Graterol,Brusdar Javier,,660813,Brusdar Graterol
Caleb,Kilian,Caleb John,,668873,Caleb Kilian
Alen,Hanson,Alen Rery,,593700,Alen Hanson
Matt,Strahm,Matthew Scott,,621381,Matt Strahm
